YEAR,MONTH,STATION_Name,UNIT_Thousand Baht,
2021,1,FM.93.0 (SOR TOR ROR),"15,778",
2021,1,FM.94.5 (JOR SOR),"23,142",
2021,1,FM.106.5 (1 POR NOR),"12,164",
2021,1,FM.102.0 (KOR SOR TOR BOR),"13,744",
2021,1,FM.105.5 (OR SOR MOR TOR(TV3)),"6,079",
2021,1,FM.90.0 (POL 1),"11,286",
2021,1,FM.94.0 (TOR TOR BOR),"7,465",
2021,1,FM.97.0 (SOR VOR TOR),"10,033",
2021,1,FM.100.0 (JOR SOR),"9,945",
2021,1,FM.90.5 (VOR POR TOR),"10,039",
2021,1,FM.89.5 (RAJAMONGKOL),"8,031",
2021,1,FM.95.0 (TOR TOR TOR),"8,056",
2021,1,FM.91.5 (YAN KOH),"3,275",
2021,1,FM.103.5 (TOR TOR BOR (TV7)),"7,549",
2021,1,FM.95.5 (POR CHOR SOR),"3,379",
2021,1,FM.89.0 (YAN KOH),"6,933",
2021,1,FM.91.0 (SOR VOR POR),"5,082",
2021,1,FM.88.5 (SOR TOR ROR),"5,946",
2021,1,FM.98.0 (POL 1),"4,778",
2021,1,FM.103.0 (JOR SOR),"3,822",
2021,1,FM.106.0 (SOR TOR ROR),"3,263",
2021,1,FM.93.5 (SOR VOR TOR),"4,823",
2021,1,FM.100.5 (OR SOR MOR TOR),"4,889",
2021,1,FM.107.0 (OR SOR MOR TOR),825,
2021,1,FM.102.5 (TOR ROR 06),"2,667",
2021,1,FM.105.0 (SOR VOR TOR),"3,991",
2021,1,FM.101.0 (VOR SOR),"4,858",
2021,1,FM.104.5 (POR TOR OR),"3,399",
2021,1,FM.96.5 (OR SOR MOR TOR),"3,655",
2021,1,FM.99.0 (OR SOR MOR TOR),"2,371",
2021,1,FM.88.0 (POR CHOR SOR (TV11)),787,
2021,1,FM.96.0 (ROR DOR),"2,402",
2021,1,FM.101.5 (CHULA),767,
2021,1,FM.97.5 (TOR TOR TOR),325,
2021,1,FM.98.5 (1 POR NOR),222,
2021,2,FM.93.0 (SOR TOR ROR),"14,178",
2021,2,FM.94.5 (JOR SOR),"21,519",
2021,2,FM.106.5 (1 POR NOR),"19,332",
2021,2,FM.102.0 (KOR SOR TOR BOR),"12,335",
2021,2,FM.105.5 (OR SOR MOR TOR(TV3)),"9,133",
2021,2,FM.90.0 (POL 1),"9,839",
2021,2,FM.94.0 (TOR TOR BOR),"7,860",
2021,2,FM.97.0 (SOR VOR TOR),"9,634",
2021,2,FM.100.0 (JOR SOR),"9,547",
2021,2,FM.90.5 (VOR POR TOR),"8,501",
