YEAR,MONTH,CHANNEL_Name,TVR,VALUE
2021,1,CH3,1.039,"1,188,633"
2021,1,CH5,0.016,"26,298"
2021,1,CH7,1.613,"591,472"
2021,1,MCOT HD,0.183,"98,140"
2021,1,NBT,0.037,"2,647"
2021,1,THAI PBS,0.072,0
2021,1,CH8,0.34,"191,791"
2021,1,WORKPOINT TV,0.653,"422,644"
2021,1,ONE,0.686,"704,263"
2021,1,PPTV,0.191,"50,421"
2021,1,MONO 29,0.915,"780,428"
2021,1,AMARIN TV,0.635,"101,786"
2021,1,NATION TV,0.106,"69,315"
2021,1,TNN,0.043,"40,924"
2021,1,THAIRATH TV,0.591,"210,288"
2021,1,GMM25,0.095,"172,435"
2021,1,NEW TV,0.04,"22,390"
2021,1,TRUE4U,0.175,"73,189"
2021,2,CH3,1.035,"1,161,728"
2021,2,CH5,0.019,"26,669"
2021,2,CH7,1.679,"597,846"
2021,2,MCOT HD,0.173,"82,425"
2021,2,NBT,0.041,"2,614"
2021,2,THAI PBS,0.063,0
2021,2,CH8,0.32,"193,533"
2021,2,WORKPOINT TV,0.638,"419,667"
2021,2,ONE,0.664,"705,081"
2021,2,PPTV,0.171,"56,786"
2021,2,MONO 29,0.834,"837,555"
2021,2,AMARIN TV,0.624,"116,596"
2021,2,NATION TV,0.092,"66,978"
2021,2,TNN,0.032,"37,553"
2021,2,THAIRATH TV,0.6,"228,831"
2021,2,GMM25,0.094,"182,433"
2021,2,NEW TV,0.039,"21,152"
2021,2,TRUE4U,0.145,"76,813"
2021,3,CH3,1.039,"1,491,685"
2021,3,CH5,0.019,"30,912"
2021,3,CH7,1.573,"765,375"
2021,3,MCOT HD,0.156,"132,995"
2021,3,NBT,0.037,"5,922"
2021,3,THAI PBS,0.063,0
2021,3,CH8,0.309,"221,163"
2021,3,WORKPOINT TV,0.626,"496,053"
2021,3,ONE,0.713,"824,119"
2021,3,PPTV,0.172,"70,434"
2021,3,MONO 29,0.809,"980,391"
2021,3,AMARIN TV,0.563,"145,928"
2021,3,NATION TV,0.089,"66,386"
2021,3,TNN,0.028,"39,253"
2021,3,THAIRATH TV,0.568,"246,375"
2021,3,GMM25,0.102,"222,972"
2021,3,NEW TV,0.021,"20,610"
2021,3,TRUE4U,0.154,"89,788"
2021,4,CH3,1.045,"1,355,078"
2021,4,CH5,0.021,"27,386"
2021,4,CH7,1.45,"749,892"
2021,4,MCOT HD,0.172,"149,333"
2021,4,NBT,0.038,"2,676"
2021,4,THAI PBS,0.075,0
2021,4,CH8,0.358,"207,247"
2021,4,WORKPOINT TV,0.67,"456,322"
2021,4,ONE,0.815,"777,549"
2021,4,PPTV,0.193,"74,461"
2021,4,MONO 29,0.855,"931,720"
2021,4,AMARIN TV,0.579,"142,683"
2021,4,NATION TV,0.095,"60,596"
2021,4,TNN,0.032,"43,994"
2021,4,THAIRATH TV,0.593,"242,531"
2021,4,GMM25,0.116,"213,129"
2021,4,NEW TV,0.016,"21,586"
2021,4,TRUE4U,0.196,"85,189"
2021,5,CH3,1.192,"1,301,360"
2021,5,CH5,0.017,"30,598"
2021,5,CH7,1.609,"662,527"
2021,5,MCOT HD,0.176,"150,363"
2021,5,NBT,0.038,"2,806"
2021,5,THAI PBS,0.075,0
2021,5,CH8,0.384,"201,538"
2021,5,WORKPOINT TV,0.649,"435,722"
2021,5,ONE,0.686,"794,942"
2021,5,PPTV,0.191,"67,824"
2021,5,MONO 29,0.895,"917,482"
2021,5,AMARIN TV,0.605,"131,763"
2021,5,NATION TV,0.08,"71,074"
2021,5,TNN,0.035,"46,402"
2021,5,THAIRATH TV,0.569,"215,581"
2021,5,GMM25,0.124,"218,020"
2021,5,NEW TV,0.018,"34,640"
2021,5,TRUE4U,0.207,"86,515"
2021,6,CH3,1.138,"1,256,515"
2021,6,CH5,0.016,"28,632"
2021,6,CH7,1.476,"659,128"
2021,6,MCOT HD,0.153,"158,853"
2021,6,NBT,0.105,"36,652"
2021,6,THAI PBS,0.068,0
2021,6,CH8,0.394,"174,727"
2021,6,WORKPOINT TV,0.544,"402,327"
2021,6,ONE,0.601,"760,943"
2021,6,PPTV,0.172,"92,225"
2021,6,MONO 29,0.841,"887,503"
2021,6,AMARIN TV,0.626,"111,164"
2021,6,NATION TV,0.087,"69,065"
2021,6,TNN,0.03,"43,637"
2021,6,THAIRATH TV,0.61,"230,236"
2021,6,GMM25,0.117,"208,721"
2021,6,JKN 18,0.015,"38,590"
2021,6,TRUE4U,0.205,"74,906"
2021,7,CH3,1.191,"1,235,384"
2021,7,CH5,0.019,"47,768"
2021,7,CH7,1.418,"696,424"
2021,7,MCOT HD,0.154,"138,104"
2021,7,NBT,0.075,"10,719"
2021,7,THAI PBS,0.097,0
2021,7,CH8,0.405,"155,837"
2021,7,WORKPOINT TV,0.555,"408,502"
2021,7,ONE,0.471,"738,414"
2021,7,PPTV,0.234,"80,799"
2021,7,MONO 29,0.899,"879,537"
2021,7,AMARIN TV,0.579,"117,361"
2021,7,NATION TV,0.109,"71,495"
2021,7,TNN,0.035,"40,410"
2021,7,THAIRATH TV,0.599,"211,386"
2021,7,GMM25,0.122,"212,214"
2021,7,JKN 18,0.027,"41,041"
2021,7,TRUE4U,0.193,"72,097"
2021,8,CH3,1.156,"1,141,043"
2021,8,CH5,0.018,"49,164"
2021,8,CH7,1.342,"667,905"
2021,8,MCOT HD,0.157,"119,062"
2021,8,NBT,0.052,"1,743"
2021,8,THAI PBS,0.089,0
2021,8,CH8,0.363,"177,021"
2021,8,WORKPOINT TV,0.553,"371,921"
2021,8,ONE,0.462,"719,968"
2021,8,PPTV,0.217,"48,306"
2021,8,MONO 29,0.871,"830,061"
2021,8,AMARIN TV,0.598,"106,846"
2021,8,NATION TV,0.125,"73,181"
2021,8,TNN,0.038,"39,511"
2021,8,THAIRATH TV,0.63,"184,210"
2021,8,GMM25,0.109,"207,377"
2021,8,JKN 18,0.026,"35,514"
2021,8,TRUE4U,0.178,"75,689"
2021,9,CH3,1.073,"1,137,069"
2021,9,CH5,0.027,"48,133"
2021,9,CH7,1.511,"639,431"
2021,9,MCOT HD,0.16,"118,231"
2021,9,NBT,0.033,"2,241"
2021,9,THAI PBS,0.069,0
2021,9,CH8,0.366,"169,352"
2021,9,WORKPOINT TV,0.581,"348,263"
2021,9,ONE,0.535,"691,535"
2021,9,PPTV,0.216,"58,782"
2021,9,MONO 29,0.863,"801,917"
2021,9,AMARIN TV,0.642,"114,399"
2021,9,NATION TV,0.14,"68,842"
2021,9,TNN,0.034,"38,153"
2021,9,THAIRATH TV,0.642,"198,336"
2021,9,GMM25,0.099,"193,455"
2021,9,JKN 18,0.022,"26,855"
2021,9,TRUE4U,0.197,"79,840"
2021,10,CH3,1.123,"1,366,453"
2021,10,CH5,0.026,"51,085"
2021,10,CH7,1.507,"728,672"
2021,10,MCOT HD,0.158,"127,652"
2021,10,NBT,0.03,"2,228"
2021,10,THAI PBS,0.07,0
2021,10,CH8,0.41,"189,421"
2021,10,WORKPOINT TV,0.602,"395,307"
2021,10,ONE,0.621,"710,454"
2021,10,PPTV,0.27,"66,092"
2021,10,MONO 29,0.84,"905,631"
2021,10,AMARIN TV,0.599,"127,548"
2021,10,NATION TV,0.138,"80,214"
2021,10,TNN,0.033,"41,009"
2021,10,THAIRATH TV,0.607,"214,964"
2021,10,GMM25,0.095,"206,208"
2021,10,JKN 18,0.032,"19,278"
2021,10,TRUE4U,0.203,"83,453"
2021,11,CH3,1.074,"1,459,276"
2021,11,CH5,0.021,"59,430"
2021,11,CH7,1.489,"730,899"
2021,11,MCOT HD,0.145,"137,814"
2021,11,NBT,0.029,"1,789"
2021,11,THAI PBS,0.062,0
2021,11,CH8,0.356,"190,008"
2021,11,WORKPOINT TV,0.594,"403,772"
2021,11,ONE,0.688,"699,768"
2021,11,PPTV,0.175,"69,800"
2021,11,MONO 29,0.763,"923,157"
2021,11,AMARIN TV,0.526,"142,732"
2021,11,NATION TV,0.127,"76,106"
2021,11,TNN,0.033,"38,598"
2021,11,THAIRATH TV,0.594,"230,619"
2021,11,GMM25,0.096,"202,105"
2021,11,JKN 18,0.032,"20,751"
2021,11,TRUE4U,0.188,"82,438"
2021,12,CH3,1.078,"1,492,367"
2021,12,CH5,0.015,"53,574"
